,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
17234,BAALC,0.5967274618216372,DCDC5,1.6092046362900378,PNLIPRP2,0.34385350083957783,AI829596,0.41655532206743906,CDKN2A,0.8874866732292684,YPEL2,0.29977761736483516
17235,VGLL4,0.5967114126157151,SLC25A15,1.6091964573497395,SNORD48,0.34385084710254427,LOC648570,0.4165221713598099,BC034632,0.8874783466486316,XKR4,0.2997775521431211
17236,BX648950,0.5966815494403624,ZFHX4-AS1,1.609153607128737,AW135323,0.3438505404758775,VPS53,0.4165182896131316,AK129761,0.8874776319384116,C12orf29,0.29977710576029704
17237,CA394379,0.5966691237328184,ARMC5,1.6091521598238194,BU567553,0.3438487794843857,LSM10,0.416512517819966,DUSP22,0.8874646247536366,OR2H2,0.2997731704039135
17238,FIBP,0.5966385963599931,DOCK8,1.6091488229186748,BQ184605,0.3438422704348748,BECN1,0.4164999975488607,HOXC8,0.8874466796689956,ATP5B,0.29976538385436985
17239,TRIM51HP,0.5966289747245959,DMKN,1.6091241261999958,SCGB2A1,0.3438420904515001,N69368,0.41649697202567193,AI024740,0.8874397536278812,BE348264,0.2997652938002453
17240,AK093403,0.5966232110880588,PPP6C,1.6090777523404836,BU620498,0.3438350125263504,GOLGA1,0.4164891679593033,ACTR5,0.887436897856735,DB350157,0.2997647078478886
17241,PLSCR3,0.5966152622082018,PITRM1,1.6090467970327789,SEMA6B,0.34382335993499435,DERA,0.4164890482199391,MPHOSPH10,0.8874173586277935,BX110434,0.299761876705406
17242,DEFA4,0.5966100910568612,DAB2IP,1.6090328181157243,BX116264,0.3438229997391532,AP1M2,0.41648085773941357,GOSR1,0.8873912971086518,RPS10,0.299761610004443
17243,ZNF157,0.596603619753408,LRRC66,1.6090045928288577,DPYSL3,0.34381926005308644,CCL3L3,0.4164747061880235,OPA3,0.8873905389454204,ZC3H4,0.2997536488581686
17244,MTMR7,0.5965891413091972,CXorf38,1.6088713403827373,AW969948,0.34380636263262304,SPIRE2,0.41645912210160724,BQ027521,0.8873894079181682,LLGL1,0.2997521018357067
17245,ASS1,0.5965875128836214,TMEM59,1.608866644088166,LIPT1,0.34378685199970843,UBE2K,0.4164284543709575,LOC100289094,0.887386426274979,POLG2,0.29975072226875643
17246,MAP2K5,0.5965857729660929,PPME1,1.608835538198975,EEF1E1,0.3437818332887066,CA392028,0.4164020830797609,CTAGE5,0.8873843729258843,BX103636,0.29975025955178
17247,SLCO5A1,0.5965850912991402,SLC2A5,1.608787344586716,BM728771,0.343775703959018,BQ012190,0.4163975058702494,TET2,0.8873804645045749,AW043556,0.2997474041077171
17248,GLOD4,0.5965850392505976,RNF213,1.6087689278483623,BX495687,0.34377282048905844,C1orf192,0.4163827077275147,DEFB136,0.8873659204177006,AA326446,0.2997462744156603
17249,BTD,0.5965735582531023,ADAMTS5,1.6087660109552258,LRRC52,0.3437685864975711,PSMD13,0.4163737095629071,PNLDC1,0.8873620497312791,TFAP4,0.29974240590414664
17250,MARVELD3,0.5965679787360247,RPL7A,1.6087509672583709,C11orf24,0.34376814200924505,CDKL3,0.41635718838623653,ADH4,0.8873407023100002,BF355127,0.2997364587650846
17251,WDR87,0.5965677871689635,GK,1.608746793459354,TCHHL1,0.34376718103049686,HTATSF1P2,0.4163259329902726,AW297374,0.8873234868225601,AK091969,0.29973620837118037
17252,ZG16B,0.5965553544195367,ORMDL1,1.6087290185708678,VLDLR,0.3437536330925077,SMARCA2,0.4163190620185173,C1orf223,0.8873130349069345,MOSC1,0.29973269758671384
17253,ABCF2,0.5965477907012867,GRAMD3,1.6087203409277984,BX102281,0.343743774166676,PEX7,0.4162968760454164,DB335537,0.8872942855320655,ATXN1,0.2997301283394836
17254,TMEM234,0.5965471008896341,PARVA,1.6086877637287684,CNOT7,0.3437420149336133,BQ026234,0.4162870516027099,AW188248,0.8872827948026344,BF984331,0.2997263392491292
17255,BCL8,0.5965170832162577,EID1,1.6086837985421156,OR13C4,0.3437233461342804,MISP3,0.41625517077335894,AW236393,0.8872744624268223,MMP14,0.29972611441515573
17256,GSG2,0.5965018219266159,TLK2,1.6086668439267355,TMEM72,0.34372205219980845,KIAA0415,0.41625298742469563,BF594505,0.8872706612577389,FLJ34503,0.2997081423976772
17257,OS9,0.5964987027710971,NOL11,1.6086069980035829,BX095481,0.34371119008819984,AK056584,0.41625148803674605,BM678833,0.8872703706009591,UHRF1,0.29970779693527805
17258,ACTN2,0.5964949473775885,IQGAP2,1.6085817056947735,TBC1D15,0.34370731485263734,DMBT1L1,0.41624957014101577,OR13H1,0.8872592120861443,AGBL1,0.29970201632814697
17259,BU685603,0.5964827484657145,MAPK12,1.6085307792866372,TARDBP,0.3437063258058907,RRP15,0.41624169435871583,KIAA0100,0.8872591110509209,KIFC1,0.29969895191673246
17260,TBC1D16,0.5964816842753753,CK823498,1.6085219170644995,PXT1,0.3437048510524838,SMOC2,0.4162293315535523,PPIE_1,0.8872486714924194,AI082173,0.29969843099032745
